,* 15? ?? ? ???? ??? ?????,,,,
,1? ??) ,???? ??? ???? ???.  ,,,
,"2,3,4? ??)"," A? Survey ?? > C? Topic?? ???? ?? 1,2,3 (F?~H?)",,=> ??? ??? Survey?? ??? ??? ??? Topic (C?) ?? ?? ??,
,"5,6,7?","A? Unexpected ?? > C? Topic?? ???? ?? 1,2,3 (F?~H?)",,,
,?? ??? ??,1~6 ?? ? ?? ?? ???? ??? ?? ?? > ?? ??? ?? ???? ????? ?,,=> 8? ?? ????? ??? ??? ??? ??? ?? ? ??? ???,
,"8,9,10","A? Unexpected ?? > B? Level ???? ?? 1,2,3 (F?~H?)",,,
,"11,12,13","A? Role-Play ??  >  B? Level > C? Topic?? ???? ?? 1,2,3 (F?~H?)",,,
,"14,15","A? Advanced??  > B? Level ???? ?? 1,2 (F?~G?)	",,,
,,,,,
Type,Level,Topic,?? 1,?? 2,?? 3
1?,All,Self Introduction,Tell me a little bit about yourself.,,
Unexpected,5,Food,Many people try to eat healthy these days. What kinds of foods are healthy and why are they healthy for us?,How do you shop for healthy food? What kinds of things do you have to do to cook healthy food?,"Tell me how you found out about eating healthy. Did your family eat healthy when you were growing up?
Did your friend become healthier by eating healthy food? Describe in detail how you started to eat healthy."
Unexpected,5,Food,What are some of the typical foods in your country? What dishes are popular?,What do you eat on a regular day? Tell me everything that you eat in detail.,Tell me about a memorable experience you had while eating something. It could have been something good or bad. What happened? Why was it so memorable or special? Tell me everything in as much detail as possible.
Unexpected,6,Food,Many people try to eat healthy these days. What kinds of foods are healthy and why are they healthy for us?,"Tell me how you found out about eating healthy. Did your family eat healthy when you were growing up?
Did your friend become healthier by eating healthy food? Describe in detail how you started to eat healthy.",When was the last time you had some healthy food? Who was it with and how did you feel? What was special about that experience?
Unexpected,5,Furniture,Tell me about the furniture you have in your home. Is there a piece that is your favorite?,Tell me about how you use your furniture on a typical day. What kinds of things do you do with your furniture?,Tell me about the furniture that you had in your childhood home. Was there anything different from the furniture that you have today? Describe for me what your home looked like at that time.
Unexpected,5,Furniture,Tell me about how you use your furniture on a typical day. What kinds of things do you do with your furniture?,Tell me about the furniture that you had in your childhood home. Was there anything different from the furniture that you have today? Describe for me what your home looked like at that time.,"Sometimes, problems arise when it comes to furniture. Things might break, the fabric might get stained or ripped. Tell me about a time when you had a problem with a piece of furniture. Tell me everything that happened and how you fixed the problem."
Unexpected,6,Gathering,Tell me about some of the gatherings or celebrations that happen at where you live.,"Tell me about a gathering or a celebration that was held in the area in which you live. Describe where the gathering was held, who was there, what the purpose of the gathering was,and what happened from beginning to end.","Sometimes when people get together for celebrations or gatherings, unexpected things can happen. Tell me all about something unexpected that happened at a celebration or a gathering in the area where you live. Tell me what happened from beginning to end."
Unexpected,6,Gathering,"Where do people usually have celebrations or parties in the area where you live or work? Is it at someone's home, or a park, or somewhere else? Tell me everything about that place in as much detail as you can.","Tell me about the last holiday party or celebration that you attended. Give me lots of details about what happened, who was there, and what you did from beginning to end.","Tell me about a time when you helped prepare a party or a celebration. Perhaps, you helped invite people, or you helped decorate, or get the food or drinks. Tell me about this experience from the beginning to the end in detail."
Unexpected,5,Geography,"Describe your country s geography for me. Are there mountains, lakes, or rivers? What is your country like?","Tell me about the outdoor activities that are popular in your country. Do people go hiking, bike or swim? What do people typically do outdoors?","Tell me about an early memory of your countrys geography. Perhaps, you visited a special place or went to an important natural landmark. Describe what you saw when you visited that special place."
Unexpected,5,Geography,"Tell me a little bit about a country close to your own country. Tell me what the country looks like, about its people and some of its traditions.",Please tell me about what kinds of free time activities people in your country do.,People often have memorable and moving experiences when they explore their countrys geography. You might climb a famous mountain or swim at a beautiful beach. Tell me the story of a memorable time you had while visiting a natural place in your country.
Unexpected,6,Geography,"Describe your country s geography for me. Are there mountains, lakes, or rivers? What is your country like?",I’d like you to pick a favorite place in your country from your childhood and describe that place for me. What are your memories of that place? What was it like when you were a child?,People often have memorable and moving experiences when they explore their countrys geography. You might climb a famous mountain or swim at a beautiful beach. Tell me the story of a memorable time you had while visiting a natural place in your country.
Unexpected,6,Geography,"Tell me a little bit about a country close to your own country. Tell me what the country looks like, about its people and some of its traditions.",I’d like you to pick a favorite place in your country from your childhood and describe that place for me. What are your memories of that place? What was it like when you were a child?,"How has your country changed in the past decade? Choose one area of change and provide a lot of details about urban development, tourism, or any other area."
Unexpected,5,Health,Tell me about the kinds of foods healthy people eat. What foods are they? Where do they buy these foods?,Tell me about all the things you do in order to stay healthy.,Ideas about what good health is and how to maintain it change frequently. What did people do to maintain good health when you were a child? What was considered to be a healthy diet at that time? How did people usually exercise? Describe how our ideas of what is healthy have changed overtime.
Unexpected,5,Health,Tell me about a local health food store in your neighborhood. What does this place look like?,"What are the eating habits of healthy people? What do they usually eat during the week, for breakfast, lunch, dinner, snacks, etc?",Ideas about what good health is and how to maintain it change frequently. What did people do to maintain good health when you were a child? What was considered to be a healthy diet at that time? How did people usually exercise? Describe how our ideas of what is healthy have changed overtime.
Unexpected,6,Health,Tell me about someone you know who is very healthy. What is that person like?,Tell me about a time when you or someone you know did something new to become healthier. Maybe it was playing a sport or eating some healthy food. Tell me about the change in detail.,People do a lot of things to try to be healthy. They might join a healthy cooking class or join a new exercise program. Tell me about something you have done to try to improve your health. Tell me why you chose that particular activity and how it all worked out.
Unexpected,5,Internet,"What do people usually do on the Internet? Do they play games, watch television, etc? Talk about the things people do online in detail.","What are your usual habits when you are online? Do you usually share videos, do your shopping, read the news, etc? What do you usually do online?",When did you first become interested in surfing the Internet? Tell me about your first experience or experiences of surfing the Internet in great detail. What were your first impressions of it? What do you remember about it?
Unexpected,5,Internet,"What are your usual habits when you are online? Do you usually share videos, do your shopping, read the news, etc? What do you usually do online?",Tell me about your favorite website or type of website you visit. Why do you like it? Give me as many details as you can.,When did you first become interested in surfing the Internet? Tell me about your first experience or experiences of surfing the Internet in great detail. What were your first impressions of it? What do you remember about it?
Unexpected,5,Internet,"What kinds of videos do you like to watch online for fun, for work or for school? Tell me about the kinds of videos you like to watch online.",Tell me about your typical routine online. What do you do? Tell me about your online activities.,"Describe something memorable you saw online for work or for leisure. Maybe it was something impressive, unusual, humorous or meaningful for you. What did you notice about it? What made it special?"
